Tipo,Precio_USD,Ubicacion,Habitaciones,Banos,M2,Estado,Fuente,URL,Agregado
terreno,3500000.0,,,,400.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/87-Terreno/2404/tv-91-zona-sur-terreno-comecial-con-galpones-circunvalacion-1.html,2026-02-24 13:03:39
casa,1800000.0,Maracaibo,4,1,,sent,angelpinton,https://www.angelpinton.com/8760/inmuebles/venta-casa-4-dormitorios-barrio-catatumbo-maracaibo-v,2026-02-20 22:19:35
,1300000.0,,4,,450.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/3714/sav-1574-zona-este-apartamento-edificio-angelini-sector-la-virginia.html,2026-02-20 22:19:35
townhouse,1250000.0,Maracaibo,5,5,225.0,sent,angelpinton,https://www.angelpinton.com/8779/inmuebles/venta-conjunto-cerrado-5-dormitorios-avenida-fuerzas-armadas-maracaibo-v,2026-02-22 13:03:07
comercial,1000000.0,Maracaibo,,,4500.0,sent,angelpinton,https://www.angelpinton.com/8775/inmuebles/venta-edificio-comercial-circunvalacion-no-2-maracaibo-v,2026-02-22 13:03:07
comercial,1000000.0,Maracaibo - San Francisco,,,,sold,eliterealestate,https://eliterealestateca.com/propiedad/edificio-comercial-san-francisco/,2026-02-20 18:17:59
,500000.0,Maracaibo - Los Estanques,,4,,sold,eliterealestate,https://eliterealestateca.com/propiedad/galpon-los-estanques/,2026-02-20 18:17:59
terreno,500000.0,Maracaibo - Lago Mar Beach,,,,sold,eliterealestate,https://eliterealestateca.com/propiedad/terreno-urb-lago-mar-beach/,2026-02-20 18:17:59
apartamento,430000.0,Maracaibo - Banco Mara,,,231.0,sent,instagram,https://www.instagram.com/p/DUo8MPWDgE-/,2026-02-20 19:02:59
comercial,420000.0,,,,1500.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/84-Local/4328/lv-327-zona-norte-locales-avenida-universidad.html,2026-02-20 22:19:35
casa,400000.0,Maracaibo,7,8,45.0,sent,angelpinton,https://www.angelpinton.com/8711/inmuebles/venta-casa-7-dormitorios-los-olivos-maracaibo-v,2026-02-22 13:03:07
casa,400000.0,Maracaibo - La Florida,5,5,,sold,eliterealestate,https://eliterealestateca.com/propiedad/casa-quinta-sector-la-florida/,2026-02-20 18:17:59
casa,390000.0,,,,700.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/83-Casa-TownHouse-Anexo/4272/cv-1857-casa-quinta-comercial-duplex-san-bernardino-municipio-libertador.html,2026-02-24 13:03:39
casa,350000.0,Maracaibo - La Lago,,,,sent,eliterealestate,https://eliterealestateca.com/propiedad/casa-quinta-sector-la-lago/,2026-02-24 13:03:39
townhouse,340000.0,Maracaibo,5,6,320.0,sent,angelpinton,https://www.angelpinton.com/8757/inmuebles/venta-conjunto-cerrado-5-dormitorios-avenida-universidad-maracaibo-v,2026-02-20 22:19:35
townhouse,320000.0,,6,,580.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/4153/sav-1694-zona-norte-penthouse-edificio-bellas-artes.html,2026-02-20 22:19:35
casa,300000.0,Maracaibo - Villa Antoañona,5,7,,sold,eliterealestate,https://eliterealestateca.com/propiedad/casa-villa-antoanona/,2026-02-20 18:17:59
casa,300000.0,Villa Antoañona.,5,7,,sold,eliterealestate,https://eliterealestateca.com/propiedad/casa-villa-antoanona/,2026-02-20 18:17:46
casa,285000.0,Maracaibo,2,,580.0,sent,instagram,https://www.instagram.com/p/DU698VJDBPg/,2026-02-20 19:02:59
apartamento,277000.0,"Maracaibo - La Lago 

Consta De",3,,158.0,sent,instagram,https://www.instagram.com/p/DVEWuJXgDrp/,2026-02-22 19:02:35
,275000.0,,5,,294.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/4147/sav-1691-zona-norte-apartamento-edificio-domus-majestic-sector-cecilio-acosta.html,2026-02-24 13:03:39
townhouse,210000.0,Maracaibo,3,3,,sent,instagram,https://www.instagram.com/p/DU4MoDwjNzS/,2026-02-20 19:02:59
casa,200000.0,Maracaibo - Canta Claro,5,6,540.0,sent,angelpinton,https://www.angelpinton.com/8701/inmuebles/venta-casa-5-dormitorios-canta-claro-maracaibo-v,2026-02-20 22:19:35
,190000.0,,3,,240.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/83-Casa-TownHouse-Anexo/4052/scv-1810-zona-norte-townhouse-residencias-punta-norte-avenida-milagro-norte-sector-isla-dorada.html,2026-02-23 13:03:06
apartamento,185000.0,Maracaibo - Tierra Negra,3,4,,sent,instagram,https://www.instagram.com/p/DVCUbsOkQHg/,2026-02-22 01:02:27
casa,170000.0,,5,,650.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/83-Casa-TownHouse-Anexo/3667/scv-1713-zona-norte-casa-urbanizacion-irama.html,2026-02-20 22:19:35
casa,165000.0,Maracaibo,8,5,624.0,sent,angelpinton,https://www.angelpinton.com/8676/inmuebles/venta-casa-8-dormitorios-urb-maracaibo-maracaibo-v,2026-02-20 22:19:35
casa,165000.0,Maracaibo,,5,624.0,sent,angelpinton,https://www.angelpinton.com/8677/inmuebles/venta-local-comercial-urb-maracaibo-maracaibo-v,2026-02-20 22:19:35
,160000.0,,5,,237.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/83-Casa-TownHouse-Anexo/4331/cv-1874-zona-norte-townhouse-conjunto-residencial-caminos-del-doral-villa-alto-prado.html,2026-02-24 13:03:39
casa,150000.0,Maracaibo - Monte Bello,7,6,800.0,sent,instagram,https://www.instagram.com/p/DU_0IxXgGKC/,2026-02-21 13:03:08
casa,150000.0,Maracaibo - Las Naciones,2,,285.0,sent,instagram,https://www.instagram.com/p/DUEZ82akct9/,2026-02-20 19:02:59
comercial,150000.0,Maracaibo - Sabaneta,,4,,sold,eliterealestate,https://eliterealestateca.com/propiedad/edificio-comercial-sector-sabaneta/,2026-02-20 18:17:59
,145000.0,,4,,150.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/689/av-671-zona-norte-apartamento-edificio-santa-barbara-sector-paraiso.html,2026-02-24 13:03:39
,140000.0,,3,,,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/83-Casa-TownHouse-Anexo/3556/scv-1680-zona-norte-townhouse-conjunto-residencial-cabo-norte-isla-dorada.html,2026-02-20 22:19:35
,135000.0,,2,,98.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/4330/av-1744-zona-norte-apartamento-edificio-costa-amalfitana-sector-paraiso.html,2026-02-24 13:03:39
terreno,130000.0,,,,265.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/87-Terreno/390/tv-243-zona-norte-terreno-avenida-universidad.html,2026-02-20 22:19:35
townhouse,130000.0,Maracaibo,3,2,250.0,sent,instagram,https://www.instagram.com/p/DU1bAuYkY5W/,2026-02-20 19:02:59
casa,130000.0,,4,4,,sold,eliterealestate,https://eliterealestateca.com/propiedad/casa-av-3h-con-calle-67/,2026-02-20 18:17:59
apartamento,120000.0,Maracaibo,3,3,127.0,sent,angelpinton,https://www.angelpinton.com/8758/inmuebles/venta-apartamento-3-dormitorios-tierra-negra-maracaibo-v,2026-02-20 22:19:35
apartamento,120000.0,,3,,122.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/4324/av-1740-apartamento-edificio-las-rocas-la-boyera-avenida-principal-el-hatillo-caracas.html,2026-02-20 22:19:35
comercial,118000.0,,2,,500.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/84-Local/4175/lv-320-zona-norte-local-comercial-sector-tierra-negra-avenida-10.html,2026-02-24 13:03:39
casa,115000.0,Maracaibo,4,2,214.0,sent,instagram,https://www.instagram.com/p/DUFBGMCDNtC/,2026-02-20 19:02:59
apartamento,95000.0,Maracaibo,4,4,230.0,sent,angelpinton,https://www.angelpinton.com/8714/inmuebles/venta-apartamento-4-dormitorios-avenida-el-milagro-maracaibo-v,2026-02-20 22:19:35
apartamento,90000.0,Maracaibo,5,3,125.0,sent,angelpinton,https://www.angelpinton.com/8689/inmuebles/venta-apartamento-5-dormitorios-delicias-norte-maracaibo-v,2026-02-20 22:19:35
townhouse,90000.0,Zulia,3,4,165.0,sent,angelpinton,https://www.angelpinton.com/8699/inmuebles/venta-conjunto-cerrado-3-dormitorios-corredor-vial-cecilio-acosta-maracaibo-v,2026-02-20 22:19:35
,90000.0,,5,,220.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/4326/av-1741-zona-este-apartamento-edificio-vista-hermosa-avenida-el-milagro.html,2026-02-20 22:19:35
,89000.0,,2,,92.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/4044/av-1664-zona-norte-apartamento-edificio-centauro-calle-69-avenida-bella-vista.html,2026-02-20 22:19:35
terreno,85000.0,Maracaibo,,1,350.0,sent,angelpinton,https://www.angelpinton.com/8673/inmuebles/venta-galpon-bodega-circunvalacion-no-2-maracaibo-v,2026-02-20 22:19:35
comercial,70000.0,,,3,,sold,eliterealestate,https://eliterealestateca.com/propiedad/galpon-comercial-av-principal-los-haticos/,2026-02-24 13:03:39
casa,70000.0,Zulia,5,5,250.0,sent,angelpinton,https://www.angelpinton.com/8715/inmuebles/venta-casa-5-dormitorios-los-haticos-maracaibo-v,2026-02-20 22:19:35
terreno,70000.0,Maracaibo - El Silencio   Consta De,,,950.0,sent,angelpinton,https://www.angelpinton.com/8737/inmuebles/venta-terreno-el-silencio-maracaibo-v,2026-02-20 22:19:35
,70000.0,,2,,76.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/4296/av-1731-zona-oeste-apartamento-conjunto-residencial-villa-paola-circunvalacion-2.html,2026-02-20 22:19:35
,70000.0,,2,,600.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/85-Galpón/3582/sgv-111-zona-sur-galpones-km-18-via-perija-san-francisco.html,2026-02-20 22:19:35
casa,67000.0,,5,,660.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/83-Casa-TownHouse-Anexo/4179/escv-1833-zona-norte-casa-urbanizacion-canta-claro.html,2026-02-20 22:19:35
apartamento,65000.0,Maracaibo - Que Conduce Desde La Via De Pa,2,6,1636.0,sent,angelpinton,https://www.angelpinton.com/8796/inmuebles/venta-local-comercial-bajo-seco-maracaibo-v,2026-02-24 13:03:39
casa,60000.0,Maracaibo - Monte Claro Api,2,1,240.0,sent,angelpinton,https://www.angelpinton.com/8784/inmuebles/venta-casa-2-dormitorios-los-modines-maracaibo-v,2026-02-23 13:03:06
casa,55000.0,Maracaibo - El Naranjal,4,,240.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/83-Casa-TownHouse-Anexo/4089/ecv-1816-zona-norte-casa-sector-el-naranjal.html,2026-02-20 22:19:35
,52000.0,,3,,130.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/4284/av-1725-zona-norte-apartamento-edificio-gutierrez-avenida-santa-rita.html,2026-02-20 22:19:35
apartamento,50000.0,Maracaibo,3,2,70.0,sent,angelpinton,https://www.angelpinton.com/8795/inmuebles/venta-apartamento-3-dormitorios-los-naranjos-maracaibo-v,2026-02-24 13:03:39
casa,50000.0,Maracaibo,3,3,70.0,sent,angelpinton,https://www.angelpinton.com/8678/inmuebles/venta-casa-3-dormitorios-caminos-a-la-lagunita-maracaibo-v,2026-02-20 22:19:35
,50000.0,,4,,255.84,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/4217/esav-1705-zona-norte-apartamento-edificio-mar-vi-sector-tierra-negra-avenida-10.html,2026-02-20 22:19:35
,50000.0,,,,800.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/87-Terreno/4298/etv-152-zona-norte-terreno-urbanizacion-lago-mar-beach.html,2026-02-20 22:19:35
townhouse,45000.0,Maracaibo - San Jacinto Semi Gris Villa Ce,4,4,,sent,angelpinton,https://www.angelpinton.com/8742/inmuebles/venta-conjunto-cerrado-4-dormitorios-san-jacinto-maracaibo-v,2026-02-20 22:19:35
casa,45000.0,Maracaibo - El Rosal,5,5,,sold,eliterealestate,https://eliterealestateca.com/propiedad/casa-urbanizacion-el-rosal/,2026-02-20 18:17:59
apartamento,45000.0,Maracaibo - Terrazas Del Mar,2,2,,sold,eliterealestate,https://eliterealestateca.com/propiedad/apartamento-conj-res-terrazas-del-mar/,2026-02-20 18:17:59
apartamento,41000.0,Maracaibo,3,1,,sent,angelpinton,https://www.angelpinton.com/8743/inmuebles/venta-apartamento-3-dormitorios-raul-leoni-maracaibo-v,2026-02-20 22:19:35
casa,40000.0,Maracaibo - La Limpia,3,2,150.0,sold,angelpinton,https://www.angelpinton.com/8763/inmuebles/venta-casa-3-dormitorios-avenida-la-limpia-maracaibo-v,2026-02-20 22:19:35
casa,35000.0,Maracaibo,4,1,200.0,sent,angelpinton,https://www.angelpinton.com/8770/inmuebles/venta-casa-4-dormitorios-san-jacinto-maracaibo-v,2026-02-22 13:03:07
apartamento,35000.0,Maracaibo,3,2,90.0,sent,angelpinton,https://www.angelpinton.com/8674/inmuebles/venta-apartamento-3-dormitorios-el-trebol-maracaibo-v,2026-02-20 22:19:35
apartamento,35000.0,Maracaibo,3,2,91.0,sent,angelpinton,https://www.angelpinton.com/8724/inmuebles/venta-apartamento-3-dormitorios-sur-america-maracaibo-v,2026-02-20 22:19:35
comercial,35000.0,Maracaibo,,1,19.0,sent,angelpinton,https://www.angelpinton.com/8752/inmuebles/venta-local-comercial-centro-de-maracaibo-maracaibo-v,2026-02-20 22:19:35
casa,32000.0,,4,,190.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/87-Terreno/4314/estv-155-terreno-con-casa-multifamiliar-el-junquito-km14-caracas.html,2026-02-20 22:19:35
apartamento,30000.0,Maracaibo,3,2,93.0,sent,angelpinton,https://www.angelpinton.com/8754/inmuebles/venta-apartamento-3-dormitorios-el-pinar-maracaibo-v,2026-02-24 13:03:39
comercial,30000.0,Maracaibo,,2,120.0,sent,angelpinton,https://www.angelpinton.com/8723/inmuebles/venta-local-comercial-isla-dorada-maracaibo-v,2026-02-20 22:19:35
townhouse,28000.0,,3,,350.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/3442/av-1460-penthouse-conjunto-residencial-la-florida-urbanizacion-santa-fe-punto-fijo-municipio-carirubana-estado-falcon.html,2026-02-24 13:03:39
casa,27500.0,Maracaibo,3,1,137.0,sent,angelpinton,https://www.angelpinton.com/8782/inmuebles/venta-casa-3-dormitorios-los-haticos-maracaibo-v,2026-02-22 13:03:07
casa,22000.0,Maracaibo,1,1,55.0,sent,angelpinton,https://www.angelpinton.com/8783/inmuebles/venta-casa-1-dormitorio-las-veritas-maracaibo-v,2026-02-22 13:03:07
casa,21000.0,Maracaibo - Panamericano Maracaibo Venezue,1,1,2.0,sent,angelpinton,https://www.angelpinton.com/8650/inmuebles/venta-casa-1-dormitorio-panamericano-maracaibo-v,2026-02-20 22:19:35
terreno,19500.0,,,,,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/87-Terreno/4129/tv-144-terreno-centro-de-punto-fijo-calle-progreso-municipio-carirubana-falcon.html,2026-02-24 13:03:39
casa,17000.0,Maracaibo,3,1,174.0,sent,angelpinton,https://www.angelpinton.com/8797/inmuebles/venta-casa-3-dormitorios-barrio-guaicaipuro-maracaibo-v,2026-02-24 13:03:39
terreno,15000.0,,,,400.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/87-Terreno/2474/ta-006-zona-sur-terreno-comecial-con-galpones-circunvalacion-1.html,2026-02-24 13:03:39
,8000.0,,4,,450.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/3715/saa-643-zona-este-apartamento-edificio-angelini-sector-la-virginia.html,2026-02-20 22:19:35
apartamento,2400.0,,2,,240.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/4266/sav-1720-apartamento-campo-alegre-municipio-chacao-caracas.html,2026-02-24 13:03:39
townhouse,2300.0,Maracaibo - Sector,2,,170.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/3917/av-1628-penthouse-sector-campo-alegre-caracas-municipio-chacao.html,2026-02-24 13:03:39
comercial,1800.0,,2,,500.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/84-Local/4176/la-462-zona-norte-local-comercial-sector-tierra-negra-avenida-10.html,2026-02-24 13:03:39
,800.0,,5,,237.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/83-Casa-TownHouse-Anexo/4046/ca-268-zona-norte-townhouse-conjunto-residencial-caminos-del-doral-villa-alto-prado.html,2026-02-24 13:03:39
casa (alquiler),750.0,,4,,250.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/83-Casa-TownHouse-Anexo/4329/sca-286-casa-residencias-ana-julia-avenida-intercomunal-cabimas.html,2026-02-20 22:19:35
,720.0,,3,,100.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/3920/aa-672-zona-norte-apartamento-residencias-cabana-avenida-el-milagro.html,2026-02-24 13:03:39
,700.0,,,,162.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/85-Galpón/4333/ega-145-zona-sur-galpon-sector-haticos-calle-19c.html,2026-02-24 13:03:39
comercial (alquiler),600.0,,,,100.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/84-Local/4325/la-489-zona-oeste-local-centro-comercial-san-rafael-circunvalacion-2.html,2026-02-20 22:19:35
comercial (alquiler),400.0,Maracaibo,,2,120.0,sent,angelpinton,https://www.angelpinton.com/8731/inmuebles/alquiler-local-comercial-delicias-norte-maracaibo-v,2026-02-20 22:19:35
comercial,350.0,,,,110.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/84-Local/4285/la-479-zona-norte-local-comercial-avenida-delicias.html,2026-02-24 13:03:39
,350.0,,2,,92.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/4332/aa-726-zona-norte-apartamento-residencias-centauro-sector-tierra-negra-calle-69.html,2026-02-24 13:03:39
comercial (alquiler),350.0,Maracaibo,,1,65.0,sent,angelpinton,https://www.angelpinton.com/8719/inmuebles/alquiler-local-comercial-plaza-de-las-madres-maracaibo-v,2026-02-20 22:19:35
comercial (alquiler),300.0,Zulia - Santa Rita,,2,20.0,sent,angelpinton,https://www.angelpinton.com/8644/inmuebles/alquiler-oficina-santa-rita-maracaibo-v,2026-02-21 13:03:08
comercial (alquiler),300.0,Maracaibo,,1,65.0,sent,angelpinton,https://www.angelpinton.com/8702/inmuebles/alquiler-local-comercial-avenida-las-delicias-maracaibo-v,2026-02-20 22:19:35
comercial (alquiler),300.0,,,,28.78,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/84-Local/4327/la-491-zona-norte-local-comercial-centro-comercial-doral-center-mall-avenida-fuerzas-armadas.html,2026-02-20 22:19:35
comercial (alquiler),250.0,Zulia - Santa Rita,,2,18.0,sent,angelpinton,https://www.angelpinton.com/8645/inmuebles/alquiler-oficina-santa-rita-maracaibo-v,2026-02-20 22:19:35
comercial,90.0,Maracaibo,,1,25.0,sent,angelpinton,https://www.angelpinton.com/8786/inmuebles/alquiler-local-comercial-altos-del-pilar-maracaibo-v,2026-02-24 13:03:39
terreno,,Maracaibo - Plaza De Toros,,,5000.0,sent,instagram,https://www.instagram.com/p/DVKLH2yDyJK/,2026-02-25 01:02:45
townhouse,,Zulia,1,2,,sent,instagram,https://www.instagram.com/p/DVJs_YJgc-5/,2026-02-24 19:02:33
apartamento,,Maracaibo - Cecilio Acosta,3,,275.0,sent,instagram,https://www.instagram.com/p/DVDwtldEWpo/,2026-02-22 13:03:07
apartamento,,Maracaibo - La Virginia,4,,450.0,sent,instagram,https://www.instagram.com/p/DVCXRbMEp3k/,2026-02-22 01:02:27
apartamento,,Zulia,3,,300.0,sent,instagram,https://www.instagram.com/p/DUuEu4dDXyC/,2026-02-21 13:03:08
casa,,Zulia,4,4,400.0,sent,instagram,https://www.instagram.com/p/DUykB5Zkh2l/,2026-02-21 13:03:08
casa,,Maracaibo - Pomona,3,3,363.0,sent,instagram,https://www.instagram.com/p/DUYvVjHkb50/,2026-02-20 19:02:59
terreno,,Maracaibo - Alí Primera,,,900.0,sent,instagram,https://www.instagram.com/p/DUoOHOLknkj/,2026-02-20 19:02:59
casa,,Caracas,,,420.0,sent,instagram,https://www.instagram.com/p/DUraojujqbC/,2026-02-20 19:02:59
apartamento,,Caracas,1,,,sent,instagram,https://www.instagram.com/p/DUt5-D2jo5u/,2026-02-20 19:02:59
townhouse,,Maracaibo - Panamericano,,,98.0,sent,instagram,https://www.instagram.com/p/DU0sGsjDsnR/,2026-02-20 19:02:59
apartamento,,Maracaibo - Lago Mar Beach,3,4,200.0,sent,instagram,https://www.instagram.com/p/DU05DBIETxh/,2026-02-20 19:02:59
apartamento,,Maracaibo - Banco Mara,3,4,231.0,sent,instagram,https://www.instagram.com/p/DU5ld5JAMIG/,2026-02-20 19:02:59
apartamento,,Zulia,2,1,,sent,instagram,https://www.instagram.com/p/DU7BH2oje5y/,2026-02-20 19:02:59
apartamento,,Zulia,2,,100.0,sold,instagram,https://www.instagram.com/p/DU8P9uQgBa9/,2026-02-20 19:02:59
casa,,Maracaibo - Virginia,3,,440.0,sent,instagram,https://www.instagram.com/p/DUdtmhXFfsP/,2026-02-20 19:02:59
apartamento,,Maracaibo - El Milagro,,,303.0,sent,instagram,https://www.instagram.com/p/DUgHgfQFa6b/,2026-02-20 19:02:59
